nu, nuFnu
1727361268.9070427, 1.9594529126210014e-14
2895224485.22378, 3.839455716778926e-14
8713385244.246902, 5.374487766218072e-14
8713385244.246902, 6.525394034395307e-14
13632623454.05095, 1.38181352187917e-13
19235884004.021606, 1.744106632811995e-13
30095715509.16688, 2.3484781118615663e-13
37001923341.61743, 3.287410459318944e-13
81686357870.49608, 6.1166953992943e-13
132280347490.73683, 5.808245221814114e-13
229481491322.0027, 7.426539868534247e-13
371615190175.2389, 1.0262093211115333e-12
4915738648921.726, 5.169911943846727e-12
11232263670956.766, 7.720411508415287e-12
28458080758242.613, 9.744600632908492e-12
133999384566584.95, 1.5324745061049355e-11
189075611662051.4, 1.7898184836041125e-11
266789187435519.3, 1.5524271734347937e-11
921480143585130, 2.6727989507129044e-11
2334663529228646, 2.571060874981805e-11
126707913170868160, 3.741396260774774e-11
227514639022808300, 5.960475385927144e-11
485267614292577500, 4.542588224653893e-11
639156892553771400, 4.601732276513797e-11
813355436454214700, 4.313516470602587e-11
1035030794029928100, 4.0433522039347644e-11
1272544262496220000, 2.7785628494628814e-11
1990973229455007500, 1.7668147296146927e-11
